SentimentDevice,SalesDevice
Asus Tuf Gaming 15,TUF
HP Laptop 15,HP LAPTOP 15
HP Pavilion 15,PAVILION
Dell Inspiron 3000 15,INSPIRON 3000
Acer Aspire 5 15,ASPIRE 5
Acer Nitro 5 15,NITRO 5
Acer Aspire 3 15,ASPIRE 3
Acer Swift 3 14,SWIFT 3
Dell Inspiron 3000 14,INSPIRON 3000
HP Laptop 14,HP LAPTOP 14
HP Stream 14,STREAM
HP Laptop 17,HP LAPTOP 17
Dell Xps 15,XPS 15
Asus Vivobook S 15,VIVOBOOK
HP Stream 11,STREAM
HP Pavilion 17,PAVILION
Dell Inspiron 15,INSPIRON
Lenovo Thinkpad X1 Carbon 14,THINKPAD X
Asus Vivobook 15,VIVOBOOK
HP Envy 17,ENVY
HP Pavilion 14,PAVILION
Asus Vivobook 14,VIVOBOOK
Lenovo Ideapad 15,IDEAPAD
Dell Inspiron 15,INSPIRON | DESKTOP
Acer Predator Helios 300 15,PREDATOR
Asus Zenbook 14,ZENBOOK
Asus Zenbook 15,ZENBOOK
Asus Zenbook S 13,ZENBOOK
Asus Zenbook Duo 14,ZENBOOK
Asus Zenbook Flip 14,ZENBOOK
HP Pavilion x360 14,PAVILION X360
HP Spectre x360 13,SPECTRE
Dell Inspiron 5000 14,INSPIRON 5000
Dell Xps 13,XPS 13
Dell Inspiron 14,INSPIRON
Microsoft Surface Pro 7 12,SURFACE PRO
HP Envy x360 15,ENVY X360
Microsoft Surface Go 10,SURFACE GO
Asus VivoBook Pro 15,VIVOBOOK PRO
Lenovo Ideapad Flex 5 14,IDEAPAD FLEX
Asus Vivobook Flip 14,VIVOBOOK FLIP
Asus Zenbook Pro 15,ZENBOOK
Lenovo Thinkpad Yoga 11E,THINKPAD YOGA
Lenovo Flex 11,FLEX
HP Envy Desktop,ENVY | DESKTOP
Asus Laptop 15,ASUS LAPTOP
Asus Vivobook 11,VIVOBOOK
HP Laptop 17,HP LAPTOP 17 | AIO
Lenovo Gaming Desktop,DESKTOP | DESKTOP
Lenovo Ideapad 14,IDEAPAD
Lenovo Gaming Laptop,LENOVO GAMING
Asus Rog Strix 17,ROG STRIX
HP Notebook 15,NOTEBOOK
Lenovo Thinkpad X1 14,THINKPAD X
Lenovo Thinkpad Yoga X1 14,THINKPAD YOGA
Acer Aspire 1 15,ASPIRE 1
Asus Vivobook 17,VIVOBOOK
Microsoft Surface Laptop 3 13,SURFACE LAPTOP
Acer Aspire 3 14,ASPIRE 3
Acer Nitro 17,NITRO
Asus Zenbook Pro Duo 15,ZENBOOK
Dell Insprion 3000 11,ION
Lenovo Yoga C740 15,YOGA 1
Asus Laptop 11,ASUS LAPTOP
Acer Nitro 5 17,NITRO 5
Lenovo Laptop 14,LENOVO LAPTOP 14
Asus Rog Strix G 17,ROG STRIX
HP Envy x360 14,ENVY X360
Lenovo Ideapad Flex 5 15,IDEAPAD FLEX
Lenovo IdeaPad 1 14,IDEAPAD 1
Asus Rog Zephyrus G14 14,ROG ZEPHYRUS
Asus Rog Strix G15 15,ROG STRIX
Microsoft Surface Go 2 10,SURFACE GO
Asus Zenbook Duo 15,ZENBOOK
Lenovo Legion 5 15,LEGION
Lenovo Ideapad Slim 3 15,IDEAPAD SLIM
Dell Precision 3000 15,PRECISION
Lenovo Ideapad 3 15,IDEAPAD 3
Asus Vivobook 13,VIVOBOOK
Lenovo Ideapad 3 14,IDEAPAD 3
Asus Rog Zephyrus 14,ROG ZEPHYRUS
HP Omen 16,OMEN
Asus Rog Strix G17 17,ROG STRIX
Lenovo V14 14,V14
Lenovo V15 15,V15
Acer Nitro 5 15,NITRO | DESKTOP
Dell G15 5000 15,G15
Asus ROG Zephyrus Duo 16,ROG ZEPHYRUS
Asus E410 14,ASUS E SERIES
Dell G15 15,G15
LG Gram 16,GRAM
LG Gram 17,GRAM
Microsoft Surface Laptop Go 12,SURFACE LAPTOP
Samsung Galaxy Book Go 14,GALAXY BOOK
MSI Katana 15,KATANA
Asus ROG Strix Scar 16,ROG STRIX
MSI Cyborg 15,CYBORG
MSI Thin GF63 15,THIN
Asus Vivobook Pro 16X  16,VIVOBOOK PRO
Samsung Galaxy Book 3 Pro 360 16,GALAXY BOOK
Acer Swift Go 14,SWIFT GO
Asus Vivobook 16,VIVOBOOK
Asus Vivobook Pro 14,VIVOBOOK PRO
Lenovo Laptop 15,LENOVO LAPTOP 15
Asus Vivobook 13,VIVOBOOK
Lenovo Yoga 9I 14,YOGA 9
Lenovo Yoga 7I 14,YOGA 7
Lenovo Yoga 6 13,YOGA 6
Lenovo ideapad 3 17,IDEAPAD 3
HP Victus 15,VICTUS
HP Victus 16,VICTUS
Asus TUF Gaming A17 17,TUF
Asus TUF Gaming A15 15,TUF
Dell Xps 17,XPS 17
Acer Aspire 5 15,ASPIRE
Lenovo Ideapad Gaming 3 15,IDEAPAD GAMING
Samsung Galaxy Tab S7 FE 12,TABLET
Acer Nitro 16,NITRO
Acer Swift X 14,SWIFT
LG Gram 14,GRAM
Lenovo Thinkpad P14S 14,THINKPAD P
Acer Swift Edge 16,SWIFT
Dell G16 16,G16
Samsung Galaxy Book2 Pro 15,GALAXY BOOK
Asus TUF Gaming F15 15,TUF
Dell Alienware X15 R2 15,ALIENWARE
Lenovo V14 14,LENOVO V SERIES | DESKTOP
Dell Inspiron 16,INSPIRON
Asus Zenbook Pro 14,ZENBOOK
Asus ProArt StudioBook 16,PROART
Dell Alienware M15 R7 15,ALIENWARE
Asus TUF Gaming F15,TUF
Razer Blade 15,RAZER BLADE
Lenovo Thinkpad Yoga L13 13,THINKPAD YOGA
Lenovo Legion 16,LEGION
Lenovo Ideapad 3I 15,IDEAPAD 3
HP Omen 14,OMEN
HP Envy 16,ENVY
Lenovo V15 15,LENOVO V SERIES | DESKTOP
Dell Inspiron 3501 15,INSPIRON 3000
HP Laptop 15,HP LAPTOP 15
Dell Alienware M17 R5 17,ALIENWARE
Asus L510 15,ASUS L SERIES
Asus L210 11,ASUS L SERIES
Lenovo Ideapad 1 15,IDEAPAD 1
Samsung Galaxy Book3 16,GALAXY BOOK
Asus ROG Strix G15  15,ROG STRIX
MSI Gaming 15,UNDEFINED | DESKTOP
Acer Predator Helios Neo 16,PREDATOR
LG Gram 15,GRAM
Asus Vivobook Pro 16,VIVOBOOK PRO
HP Envy x360  15,ENVY X360
Asus Vivobook  16,VIVOBOOK
HP Omen  15,OMEN
Dell Alienware M18 18,ALIENWARE
Dell Alienware M16 16,ALIENWARE
Dell Inspiron 3000  15,INSPIRON 3000
HP Pavilion 14,PAVILION
Asus VivoBook Go 14,VIVOBOOK
HP Laptop 17t 17,HP LAPTOP 17
Lenovo SlimPro 9i 14,SLIM PRO 9
Microsoft Surface Pro 9 13,SURFACE PRO
Acer Predator Helios 16,PREDATOR
Lenovo Ideapad Flex 5  14,IDEAPAD FLEX
HP Laptop  15,UNDEFINED
HP Laptop  17,UNDEFINED
Asus ROG Flow X13 13,ROG FLOW
Asus Tuf Dash 15,TUF
Asus ROG Zephyrus M16 16,ROG ZEPHYRUS
Asus ROG Strix Scar 15,ROG STRIX
Asus TUF Gaming F17 17,TUF
Dell Inspiron 15 3000,INSPIRON 3000
Microsoft Surface Laptop 4 13,SURFACE LAPTOP
Microsoft Surface Laptop 4 15,SURFACE LAPTOP
Dell XPS Plus 13,XPS
Asus Rog 16,ROG
MSI Bravo 15,BRAVO
Dell Inspiron 7000 14 Plus,INSPIRON PLUS
Acer Predator Helios 18,PREDATOR
HP Eliteboook G7 14,ELITE
HP Laptop 15,UNDEFINED
Lenovo Yoga 7i 16,YOGA 7
Dell Alienware X16 16,ALIENWARE
Lenovo Ideapad 1  14,IDEAPAD 1
Asus VivoBook Go 12,VIVOBOOK
HP Stream  14,UNDEFINED
MSI Gaming 15,UNDEFINED
HP Stream  17,UNDEFINED
Microsoft Surface Laptop 5 15,SURFACE LAPTOP
Samsung Galaxy Book 3 360 15,GALAXY BOOK
Asus ROG Flow X13,ROG FLOW
Lenovo Wei 9 Pro  16,UNDEFINED
Samsung Galaxy Book 3 360 13,GALAXY BOOK
Acer Aspire Vero 15,ASPIRE VERO
Microsoft Surface Go 13,UNDEFINED
Microsoft Surface Laptop Studio2 13,SURFACE LAPTOP
Microsoft Surface Go Laptop 3 12,UNDEFINED
HP Envy Desktop,ENVY
Lenovo Ideapad 3i 14,IDEAPAD 3
Asus Vivobook Go 15,VIVOBOOK
Lenovo LOQ 15,LOQ
Asus Vivobook Pro  16,VIVOBOOK PRO
Lenovo Legion 5  14,LEGION
Dell Alienware  16,ALIENWARE
Dell Inspiron 5000  16,INSPIRON 5000
Samsung Galaxy Book 2 Pro 13,GALAXY BOOK
Asus TUF Gaming A 17,TUF
Asus ROG Strix Scar 18,ROG STRIX
Samsung Galaxy Book3 15,GALAXY BOOK
Lenovo Ideapad 3  15,IDEAPAD 3
Asus Rog Strix G16 16,ROG STRIX
MSI Sword 15,SWORD
Lenovo Ideapad  15,IDEAPAD
Asus TUF Gaming A15  15,TUF
Lenovo Legion Pro 7i 16,LEGION
Asus Vivobook  14,VIVOBOOK
Asus ROG Strix G16   16,ROG STRIX
Lenovo Legion Slim 5 16,SLIM 5
Asus Zenbook 14X 14,ZENBOOK
Samsung Galaxy Book3 360 15,GALAXY BOOK
MSI GF63 Thin 15,THIN
Asus BR1100 11,ASUS B SERIES
Lenovo Wei 5 Pro  15,UNDEFINED
HP Spectre 17,SPECTRE
Asus ROG Flow Z13 13,ROG FLOW
Lenovo Yoga 9i 13,YOGA 9
Asus Vivobook Flip 16,VIVOBOOK FLIP
MSI Raider 17,RAIDER
Lenovo Wei 7 Pro  14,UNDEFINED
MSI Creator M 16,CREATOR
Samsung Galaxy Book 2 Pro 15,GALAXY BOOK
Razer Blade 14,RAZER BLADE
Microsoft surface go 3 10,SURFACE GO
Samsung Galaxy Book 2 Pro 360 15,GALAXY BOOK
HP Victus 15,VICTUS
MSI GV15 15,V15
Microsoft surface pro 8 13,SURFACE PRO
Microsoft Surface Laptop Studio 14,SURFACE LAPTOP
Microsoft surface pro 7 plus 12,SURFACE PRO
Microsoft Surface Laptop Go 2 12,SURFACE LAPTOP
Microsoft Surface Laptop 5 13,SURFACE LAPTOP
Samusng Galaxy Book 3 Pro 14,GALAXY BOOK
Samsung Galaxy Book3 Ultra 16,GALAXY BOOK
Samsung Galaxy Book3 Pro 16,GALAXY BOOK
HP Spectre x360 16,SPECTRE
Asus ROG Flow Z13 13,ROG FLOW
HP Envy  17,ENVY
Lenovo 300W 3 11,LENOVO 300 SERIES
Lenovo yoga Book 9,YOGA 9
Lenovo Slim Pro 14,SLIM PRO 1
Lenovo Yoga 7 16,YOGA 7
Hp envy 2,ENVY
Lenovo Flex 5 14,FLEX
Asus ROG flow X16 16,ROG FLOW
Lenovo Ideapad Flex 5 16,IDEAPAD FLEX
Lenovo Slim 7i 16,SLIM 7
Lenovo IdeaPad 16,IDEAPAD 16
Asus ROG Gaming 14,ROG
Asus Vivobook Pro 16X 16,VIVOBOOK PRO
Lenovo Ideapad 5i 15,IDEAPAD 5
Lenovo Ideapad 1i 14,IDEAPAD 1
Lenovo Thinkpad Yoga X1 14,THINKPAD YOGA
Hp Envy 17T 17,ENVY
Acer Nitro 5 15,NITRO
Asus ROG Zephyrus G14  14,ROG ZEPHYRUS
Asus Vivobook 14,VIVOBOOK
Dell Inspiron 7000 2-in-1 16,INSPIRON 7000
Lenovo thinkpad p17 17,THINKPAD P
Asus TUF Gaming A16 16,TUF
Asus ROG Zephyrus 16,ROG ZEPHYRUS
Dell G15 5000 15,UNDEFINED
Asus ROG Strix G17  17,ROG STRIX
Dell Inspiron 5620 Desktop,INSPIRON 5000
Lenovo Ideapad 5i Pro 16,IDEAPAD PRO 5
Asus Vivobook Pro 15X 15,VIVOBOOK PRO
Asus Zenbook Pro 17,ZENBOOK
Asus Vivobook Pro 15X,VIVOBOOK PRO
Lenovo Yoga Slim 7 16,YOGA SLIM 7
Lenovo Slim 7 Pro 14,SLIM PRO 7
Asus Zenbook Pro Duo 14,ZENBOOK
LG gram 17Z95P,GRAM
HP Spectre x360 14,SPECTRE
Asus ROG Strix 18,ROG STRIX
MSI Stealth 17,STEALTH
MSI Stealth 16,STEALTH
Hp omen Gaming laptop,OMEN
Alienware M16 16,ALIENWARE
Alienware M18 18,ALIENWARE
Razer Blade 16,RAZER BLADE
MSI Gaming laptop 16,UNDEFINED
MSI Katana 15,MSI KATANA
Samsung Galaxy Ultra 16,GALAXY BOOK ULTRA
Lenovo Legion Pro 5i 16,LEGION
Samsung Galaxy Book2 Pro 360 13,GALAXY BOOK
Asus VivoBook Pro 15,VIVOBOOK PRO
MSI Stealth 14,STEALTH
Asus ROG Zephyrus G16 16,ROG ZEPHYRUS
Lenovo ThinkPad T16 16,THINKPAD T
Razer Gaming laptop 18,RAZER
Razer Blade 18,RAZER BLADE
Lenovo Gaming Desktop,DESKTOP
HP Pavilion 14,PAVILION | DESKTOP
Lenovo Ideapad 3 14,IDEAPAD
Asus Vivobook 17,VIVOBOOK
Samsung Galaxy Book3 Pro 15,GALAXY BOOK
Acer Nitro 5 15,NITRO
Hp Omen Transcend 14,OMEN
Hp G10 15,256 G9
Lenovo Thinkpad E16 16,LENOVO THINKPAD E16
Hp G9 15,256 G9
Acer Aspire Vero 14,ASPIRE VERO
Microsoft Surface Laptop Go 3 12,SURFACE LAPTOP GO
Lenovo Slim 7 Pro X 14,LENOVO SLIM 7 PROX
Hp Omen Transcend 16,OMEN
Microsoft Surface Laptop 15,SURFACE LAPTOP
Asus Zenbook Pro 14X 14,ASUS ZENBOOK PRO 14
Lenovo Legion Pro 7 16,LENOVO LEGION PRO 5
Hp Envy X360 16,ENVY X360
Lenovo Thinkbook G6 16,THINKBOOK
Microsoft Surface Laptop Go 2 12,SURFACE LAPTOP GO
Asus Rog Flow 16,ROG FLOW
Microsoft Surface Studio 2 14,SURFACE STUDIO
Asus Tuf A16 16,TUF
Asus Rog Strix G 16,ROG STRIX
Asus Rog Zephyrus G16  16,ROG ZEPHYRUS
Asus Vivobook Pro X 16,VIVOBOOK PRO
